pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,239,6.600000
1000,200,5.566667
1000,319,8.000000
1000,280,7.700000
1000,360,8.833333
1000,400,9.966667
1000,439,11.833333
1000,600,15.000000
1000,520,13.200000
1000,560,15.633333
1000,479,12.700000
1000,639,16.733333
1000,759,20.833333
1000,800,22.733333
1000,680,19.600000
1000,719,20.800000
1000,840,24.866667
1000,879,25.233333
1000,959,26.466667
1000,919,25.566667
1166,200,6.766667
1166,239,7.200000
1166,280,9.933333
1166,319,8.933333
1166,360,12.166667
1000,1000,28.133333
1166,400,10.800000
1000,1040,30.000000
1000,1080,30.733333
1166,439,12.600000
1000,1120,32.466667
1000,1159,34.400000
1166,479,14.600000
1000,1200,34.500000
1166,560,19.100000
1166,520,16.633333
1000,1239,35.700000
1000,1279,38.800000
1000,1320,38.066667
1000,1360,39.400000
1166,600,18.633333
1166,639,20.266667
1166,680,20.400000
1166,719,21.466667
1166,759,25.266667
1166,800,25.433333
1166,840,26.433333
1166,879,28.566667
1333,200,7.266667
1166,919,31.400000
1166,1000,30.600000
1166,959,31.366667
1333,239,8.133333
1333,280,10.566667
1166,1040,33.266667
1166,1080,33.900000
1333,319,12.566667
1166,1120,35.833333
1166,1159,37.466667
1166,1239,40.233333
1166,1200,39.033333
1333,360,12.900000
1333,400,14.133333
1166,1279,40.933333
1333,439,14.733333
1166,1320,44.400000
1166,1360,43.833333
1333,479,15.300000
1333,520,18.233333
1333,560,19.200000
1333,600,19.933333
1333,639,23.566667
1333,680,23.733333
1333,719,25.866667
1333,800,26.333333
1333,759,28.233333
1333,840,28.400000
1333,879,32.166667
1333,919,32.033333
1500,200,7.266667
1333,1000,35.766667
1333,959,33.500000
1500,239,9.433333
1500,280,11.866667
1333,1040,36.566667
1333,1080,38.300000
1500,319,12.200000
1333,1120,41.766667
1333,1159,41.000000
1333,1200,43.100000
1333,1279,43.966667
1500,360,13.333333
1500,400,16.200000
1333,1239,41.300000
1333,1360,48.600000
1333,1320,44.966667
1500,439,16.766667
1500,479,18.666667
1500,520,19.733333
1500,560,21.300000
1500,639,26.600000
1500,600,21.300000
1500,680,29.566667
1500,719,27.500000
1500,759,30.600000
1500,800,30.566667
1500,840,33.466667
1500,879,33.666667
1666,200,8.366667
1500,919,35.666667
1500,959,37.466667
1666,239,9.200000
1500,1000,37.900000
1500,1040,37.633333
1666,280,12.400000
1500,1080,42.766667
1500,1120,43.533333
1666,319,13.266667
1500,1159,42.433333
1666,360,14.133333
1500,1200,48.466667
1500,1239,47.666667
1666,400,17.500000
1500,1279,50.000000
1666,439,18.933333
1500,1320,49.300000
1500,1360,53.933333
1666,479,18.666667
1666,520,21.333333
1666,560,24.500000
1666,600,25.300000
1666,639,28.166667
1666,680,27.666667
1666,719,30.900000
1666,759,32.833333
1666,800,31.833333
1666,840,33.566667
1666,879,36.400000
1666,919,39.933333
1833,200,8.666667
1666,959,37.233333
1666,1000,40.566667
1666,1080,46.500000
1833,239,10.966667
1666,1040,42.133333
1833,280,12.600000
1666,1120,49.000000
1666,1159,48.800000
1833,319,14.366667
1833,360,14.933333
1666,1200,52.533333
1833,400,18.866667
1666,1239,51.033333
1666,1279,54.500000
1666,1320,56.300000
1666,1360,56.633333
1833,439,20.333333
1833,479,22.600000
1833,520,23.500000
1833,560,25.400000
1833,600,29.033333
1833,639,29.233333
1833,680,32.433333
1833,719,33.900000
1833,759,34.733333
1833,800,38.800000
1833,840,38.133333
1833,879,41.566667
1833,919,43.533333
1833,959,40.866667
2000,200,9.600000
1833,1000,44.266667
1833,1040,49.966667
2000,239,11.433333
1833,1080,46.933333
2000,280,12.700000
1833,1120,51.866667
2000,319,17.600000
2000,360,17.666667
1833,1159,50.500000
1833,1200,55.366667
1833,1239,55.433333
2000,400,17.866667
1833,1279,57.366667
2000,439,21.000000
1833,1320,61.766667
2000,479,22.900000
1833,1360,63.600000
2000,520,24.266667
2000,560,27.466667
2000,600,31.466667
2000,639,31.166667
2000,680,30.933333
2000,719,35.533333
2000,759,36.066667
2000,840,40.200000
2000,800,39.100000
2000,879,42.200000
2000,919,44.833333
2000,959,44.133333
2166,200,9.566667
2000,1000,46.633333
2000,1040,50.266667
2166,239,13.600000
2000,1080,51.066667
2000,1120,53.733333
2166,280,13.766667
2166,319,16.533333
2000,1200,55.400000
2166,360,16.900000
2000,1159,55.666667
2000,1239,58.933333
2166,439,19.733333
2166,400,19.933333
2000,1279,60.500000
2000,1320,64.800000
2166,479,24.633333
2000,1360,62.366667
2166,560,29.633333
2166,520,27.366667
2166,600,31.266667
2166,639,34.200000
2166,680,33.333333
2166,719,38.033333
2166,759,38.166667
2166,800,42.233333
2166,840,42.466667
2166,879,43.500000
2166,919,46.733333
2333,200,10.833333
2166,959,48.033333
2166,1000,51.266667
2166,1040,51.966667
2333,239,12.200000
2333,280,14.533333
2166,1080,54.733333
2166,1120,56.200000
2333,319,14.866667
2166,1159,55.400000
2166,1239,59.533333
2166,1200,59.033333
2333,360,18.666667
2166,1279,60.766667
2333,400,21.133333
2333,439,22.566667
2166,1320,66.566667
2166,1360,68.633333
2333,479,26.033333
2333,520,31.800000
2333,600,32.400000
2333,560,29.700000
2333,639,35.933333
2333,680,37.733333
2333,719,37.300000
2333,759,41.133333
2333,800,42.066667
2333,840,43.666667
2333,879,47.300000
2333,919,49.200000
2333,959,49.633333
2500,200,11.266667
2333,1000,52.133333
2500,239,12.200000
2333,1040,54.100000
2333,1080,55.933333
2333,1120,60.366667
2333,1159,59.933333
2500,280,18.500000
2500,319,19.933333
2333,1239,64.433333
2333,1200,64.533333
2500,360,20.100000
2333,1279,64.800000
2500,400,23.500000
2500,439,23.133333
2333,1320,69.533333
2500,479,24.500000
2333,1360,70.233333
2500,520,30.566667
2500,600,32.500000
2500,560,32.466667
2500,719,37.666667
2500,680,38.666667
2500,639,36.933333
2500,759,40.300000
2500,800,43.166667
2500,840,48.133333
2500,879,49.300000
2500,959,51.933333
2666,200,13.100000
2500,919,51.800000
2500,1000,56.533333
2500,1040,54.700000
2666,239,13.666667
2666,280,17.300000
2500,1080,57.400000
2666,319,18.233333
2500,1120,59.566667
2500,1159,61.300000
2500,1200,64.233333
2666,360,19.900000
2500,1239,63.966667
2500,1279,67.566667
2666,400,23.666667
2500,1320,71.166667
2666,439,26.433333
2666,479,29.166667
2500,1360,73.400000
2666,520,30.400000
2666,560,30.633333
2666,600,35.800000
2666,639,37.933333
2666,680,39.000000
2666,719,43.466667
2666,759,42.333333
2666,800,46.566667
2666,840,46.933333
2666,879,49.700000
2666,919,52.866667
2666,959,49.866667
2833,200,12.533333
2833,239,16.000000
2666,1000,54.866667
2666,1040,58.300000
2666,1080,60.500000
2833,280,16.966667
2666,1120,64.533333
2666,1159,65.333333
2833,319,22.833333
2666,1200,62.500000
2833,360,23.800000
2666,1239,66.300000
2833,400,23.000000
2666,1279,69.866667
2833,439,27.933333
2666,1320,71.366667
2833,479,28.966667
2833,520,31.900000
2666,1360,72.000000
2833,560,30.800000
2833,600,35.100000
2833,639,36.400000
2833,680,39.366667
2833,719,42.666667
2833,759,43.900000
2833,800,49.333333
2833,840,47.466667
2833,879,52.500000
2833,919,52.633333
3000,200,12.366667
2833,959,54.933333
2833,1040,60.133333
2833,1000,55.200000
3000,239,15.633333
2833,1080,61.266667
3000,280,20.400000
2833,1120,61.500000
2833,1159,64.300000
2833,1200,65.933333
3000,319,19.566667
2833,1239,68.333333
3000,360,22.566667
2833,1279,70.400000
3000,400,25.100000
2833,1320,72.366667
2833,1360,72.400000
3000,439,27.066667
3000,479,29.333333
3000,520,31.133333
3000,560,33.333333
3000,600,39.066667
3000,639,36.733333
3000,680,41.833333
3000,719,42.900000
3000,759,46.533333
3000,800,48.000000
3000,840,50.966667
3000,879,54.266667
3000,919,55.233333
3000,959,53.566667
3000,1000,56.733333
3000,1040,56.200000
3166,200,13.266667
3166,239,14.833333
3000,1080,62.333333
3000,1120,64.633333
3000,1159,66.733333
3166,280,17.733333
3000,1200,65.900000
3166,319,21.000000
3000,1239,66.866667
3000,1279,72.033333
3166,360,23.266667
3166,400,25.333333
3000,1320,73.100000
3166,439,29.100000
3000,1360,74.333333
3166,479,27.733333
3166,520,31.700000
3166,560,32.900000
3166,600,36.800000
3166,639,38.033333
3166,680,42.466667
3166,719,44.933333
3166,759,45.433333
3166,800,45.433333
3166,840,51.033333
3166,879,54.666667
3166,919,54.066667
3166,959,55.566667
3166,1000,54.666667
3333,200,14.033333
3166,1040,60.733333
3166,1080,60.933333
3166,1120,65.033333
3333,239,15.166667
3333,280,19.366667
3166,1159,62.800000
3166,1200,64.333333
3333,319,21.900000
3333,360,22.400000
3166,1239,67.333333
3166,1320,72.233333
3333,400,27.233333
3166,1279,70.100000
3333,439,28.700000
3333,479,31.200000
3166,1360,72.033333
3333,520,30.433333
3333,560,32.933333
3333,600,37.033333
