pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,20.500000
1000,280,28.300000
1000,239,24.133333
1000,319,32.366667
1000,400,38.200000
1000,360,33.033333
1000,439,41.866667
1000,479,43.600000
1000,520,46.000000
1000,560,48.966667
1000,600,49.000000
1000,680,57.600000
1000,719,58.266667
1000,639,52.700000
1000,759,62.600000
1000,800,61.000000
1000,840,65.233333
1000,879,67.733333
1000,919,72.933333
1000,959,73.366667
1166,200,22.733333
1166,239,27.833333
1166,280,30.800000
1166,319,34.166667
1000,1000,75.866667
1166,360,37.100000
1000,1040,76.400000
1166,400,43.266667
1000,1080,75.566667
1166,439,46.766667
1000,1120,82.800000
1166,479,48.966667
1000,1159,81.166667
1166,520,52.433333
1166,560,55.233333
1000,1200,83.866667
1000,1239,84.866667
1000,1279,88.166667
1000,1360,91.733333
1000,1320,92.566667
1166,600,56.033333
1166,639,61.033333
1166,680,62.700000
1166,719,64.300000
1166,759,69.933333
1166,840,74.900000
1166,800,72.233333
1166,879,75.433333
1333,200,26.500000
1166,919,74.633333
1166,959,83.366667
1166,1040,85.433333
1166,1000,84.700000
1333,239,30.500000
1333,280,35.366667
1166,1120,87.166667
1166,1080,91.400000
1166,1159,92.433333
1166,1200,91.666667
1333,319,35.066667
1333,360,43.166667
1166,1239,95.800000
1166,1279,100.866667
1333,400,47.566667
1166,1320,104.533333
1333,439,51.700000
1166,1360,106.900000
1333,479,50.700000
1333,520,58.100000
1333,560,58.966667
1333,600,63.933333
1333,680,68.833333
1333,639,67.966667
1333,719,71.700000
1333,759,78.000000
1333,800,82.866667
1333,840,83.000000
1333,879,84.633333
1500,200,26.000000
1333,959,91.600000
1333,919,86.366667
1333,1000,89.666667
1333,1040,94.266667
1500,239,32.633333
1333,1080,96.866667
1500,280,36.366667
1333,1159,98.733333
1333,1120,98.033333
1500,319,39.333333
1333,1239,107.200000
1333,1200,101.533333
1500,360,45.900000
1500,400,50.766667
1333,1279,107.833333
1500,439,54.300000
1333,1320,110.333333
1333,1360,108.566667
1500,479,55.933333
1500,520,57.433333
1500,560,66.466667
1500,600,70.966667
1500,639,72.500000
1500,680,71.833333
1500,719,79.933333
1500,759,82.666667
1500,800,81.066667
1500,840,86.000000
1500,879,88.400000
1500,919,95.700000
1500,1000,96.833333
1666,200,28.400000
1500,959,97.433333
1500,1040,104.133333
1666,239,35.133333
1500,1080,102.833333
1500,1120,105.466667
1666,280,38.500000
1666,319,43.766667
1500,1159,108.200000
1666,360,49.966667
1500,1200,112.433333
1500,1239,114.400000
1666,400,51.000000
1500,1279,117.166667
1500,1320,116.933333
1666,439,56.933333
1666,479,64.533333
1666,520,62.200000
1500,1360,122.166667
1666,560,66.333333
1666,600,70.900000
1666,639,75.633333
1666,680,80.200000
1666,719,80.800000
1666,759,87.833333
1666,800,84.600000
1666,840,93.333333
1666,879,95.866667
1666,919,106.266667
1833,200,30.966667
1666,959,100.566667
1833,239,36.800000
1666,1000,106.100000
1666,1040,103.733333
1666,1080,109.900000
1833,280,43.200000
1666,1120,113.500000
1833,319,47.233333
1666,1159,115.166667
1833,360,50.400000
1666,1200,119.166667
1833,400,53.233333
1666,1239,123.100000
1666,1279,125.033333
1666,1320,123.066667
1833,439,60.066667
1666,1360,130.433333
1833,479,62.066667
1833,520,67.066667
1833,560,74.066667
1833,600,75.200000
1833,639,81.700000
1833,680,84.433333
1833,719,88.000000
1833,759,90.833333
1833,800,96.000000
1833,840,95.266667
1833,879,100.466667
1833,919,100.233333
2000,200,33.700000
1833,959,111.333333
1833,1000,113.866667
2000,239,39.766667
1833,1040,115.333333
1833,1080,114.266667
2000,280,42.233333
1833,1120,119.366667
2000,319,48.466667
1833,1159,120.566667
1833,1200,127.466667
2000,360,51.400000
1833,1239,129.100000
2000,400,58.866667
1833,1279,130.000000
1833,1320,131.700000
2000,439,62.533333
2000,479,67.200000
1833,1360,134.633333
2000,520,72.666667
2000,560,75.066667
2000,600,81.366667
2000,639,83.066667
2000,680,89.766667
2000,719,88.566667
2000,800,96.633333
2000,759,95.166667
2000,840,101.600000
2000,879,110.700000
2000,919,106.500000
2000,959,109.300000
2166,200,32.900000
2000,1000,114.433333
2000,1040,116.933333
2166,239,37.000000
2000,1080,117.633333
2166,280,45.166667
2000,1120,127.233333
2166,319,49.533333
2000,1159,131.766667
2000,1200,133.200000
2000,1239,133.266667
2166,360,55.600000
2166,400,63.300000
2000,1279,134.866667
2166,439,64.833333
2000,1320,139.533333
2166,479,67.000000
2000,1360,142.666667
2166,520,73.800000
2166,560,77.933333
2166,600,82.833333
2166,639,87.233333
2166,680,93.600000
2166,719,98.866667
2166,759,96.533333
2166,800,104.166667
2166,840,107.366667
2166,879,107.666667
2166,919,114.866667
2333,200,34.500000
2166,959,118.133333
2333,239,39.966667
2166,1000,121.266667
2166,1040,128.300000
2333,280,46.400000
2166,1080,126.033333
2166,1120,127.366667
2333,319,48.700000
2166,1159,135.933333
2166,1200,135.533333
2166,1239,137.666667
2333,360,59.000000
2166,1279,143.133333
2333,400,64.633333
2333,439,66.600000
2166,1320,146.300000
2166,1360,144.233333
2333,479,69.400000
2333,520,77.133333
2333,560,80.700000
2333,600,85.800000
2333,639,90.600000
2333,719,96.966667
2333,680,98.466667
2333,759,101.500000
2333,800,107.966667
2333,840,113.300000
2333,879,108.733333
2333,919,114.833333
2333,959,118.166667
2500,200,34.366667
2333,1000,114.966667
2333,1040,128.966667
2500,239,40.400000
2333,1080,131.366667
2333,1120,132.900000
2500,280,48.900000
2333,1159,138.266667
2500,319,49.366667
2333,1200,141.500000
2500,360,60.833333
2333,1239,143.200000
2500,400,67.233333
2333,1279,144.066667
2333,1320,148.566667
2500,439,68.400000
2500,479,71.266667
2333,1360,151.700000
2500,520,75.666667
2500,560,81.800000
2500,600,85.700000
2500,639,88.233333
2500,680,97.100000
2500,719,102.666667
2500,759,101.500000
2500,800,107.800000
2500,840,115.533333
2500,879,115.566667
2500,919,118.133333
2500,959,124.400000
2666,200,35.266667
2500,1000,125.800000
2666,239,43.466667
2500,1080,132.433333
2500,1040,132.700000
2500,1120,134.733333
2666,280,49.666667
2500,1159,140.000000
2500,1200,141.466667
2666,319,51.700000
2500,1239,141.633333
2666,360,59.100000
2500,1279,149.400000
2500,1320,148.700000
2666,400,61.600000
2500,1360,160.100000
2666,439,69.566667
2666,479,74.533333
2666,520,80.566667
2666,560,89.733333
2666,600,85.333333
2666,639,93.366667
2666,680,92.833333
2666,719,103.233333
2666,759,109.400000
2666,800,108.066667
2666,840,113.466667
2666,879,119.333333
2666,919,122.200000
2666,959,124.466667
2833,200,34.233333
2666,1000,132.900000
2666,1040,134.000000
2666,1080,137.900000
2666,1120,136.666667
2833,239,41.766667
2833,280,52.166667
2666,1159,144.566667
2666,1200,147.300000
2833,319,54.833333
2666,1239,145.966667
2833,360,59.533333
2666,1279,146.966667
2833,400,66.066667
2666,1320,155.800000
2833,439,70.033333
2666,1360,155.966667
2833,479,76.266667
2833,520,80.300000
2833,560,81.366667
2833,600,92.266667
2833,639,92.566667
2833,680,103.000000
2833,719,105.566667
2833,759,111.866667
2833,800,110.100000
2833,840,113.666667
2833,879,114.666667
2833,919,124.133333
2833,1000,126.166667
2833,959,126.166667
2833,1040,131.733333
3000,200,36.600000
3000,239,43.233333
2833,1080,138.400000
2833,1120,137.933333
2833,1159,143.166667
3000,280,50.600000
2833,1200,141.833333
3000,319,55.900000
3000,360,60.666667
2833,1239,148.466667
2833,1279,150.266667
3000,400,63.033333
2833,1320,153.266667
3000,439,67.866667
2833,1360,153.333333
3000,479,79.600000
3000,520,78.566667
3000,560,83.966667
3000,600,95.966667
3000,639,95.866667
3000,680,96.533333
3000,719,104.333333
3000,759,109.866667
3000,800,111.733333
3000,840,117.166667
3000,879,118.233333
3000,919,120.900000
3000,959,127.400000
3000,1000,126.700000
3166,200,34.133333
3000,1040,134.866667
3000,1080,134.033333
3166,239,44.966667
3000,1120,142.700000
3166,280,48.733333
3000,1159,143.800000
3000,1200,146.733333
3166,319,55.733333
3000,1239,150.333333
3166,360,62.200000
3000,1279,149.400000
3166,400,65.266667
3000,1320,154.733333
3166,439,69.633333
3166,479,74.033333
3000,1360,156.566667
3166,520,81.566667
3166,560,87.233333
3166,600,89.266667
3166,639,94.266667
3166,680,101.866667
3166,719,104.200000
3166,759,104.933333
3166,840,113.933333
3166,800,108.133333
3166,879,120.033333
3166,919,119.400000
3166,959,125.433333
3166,1000,127.600000
3333,200,36.833333
3166,1040,130.966667
3333,239,45.433333
3166,1080,132.966667
3333,280,51.233333
3166,1120,139.233333
3166,1159,140.766667
3333,319,55.700000
3166,1200,144.133333
3166,1239,139.733333
3333,360,60.900000
3166,1279,147.966667
3333,400,62.300000
3166,1320,147.833333
3333,439,65.933333
3166,1360,154.166667
3333,479,76.766667
3333,520,81.533333
3333,560,88.666667
3333,600,90.266667
3333,639,91.333333
3333,680,100.833333
3333,719,98.366667
3333,759,105.500000
3333,800,113.000000
3333,840,115.533333
3333,879,119.900000
3333,919,118.900000
3333,959,124.833333
3333,1000,128.500000
3500,200,34.466667
3333,1040,130.566667
3333,1080,130.866667
3500,239,42.066667
3333,1120,136.766667
3333,1159,139.966667
3500,280,47.000000
3333,1200,142.866667
3500,319,55.566667
3333,1239,147.900000
3500,360,62.700000
3333,1279,146.466667
3500,400,65.000000
3333,1320,146.666667
3500,439,71.966667
3333,1360,151.200000
3500,479,75.666667
3500,520,81.266667
3500,560,87.333333
3500,600,86.833333
3500,639,93.933333
3500,680,102.566667
3500,719,101.466667
3500,759,105.733333
3500,800,106.500000
3500,840,113.533333
3500,879,113.366667
3500,919,115.400000
3500,959,121.600000
3500,1000,125.966667
3666,200,35.833333
3500,1040,131.266667
3500,1080,131.766667
3666,239,42.600000
3500,1120,130.966667
3500,1159,137.800000
3666,280,48.600000
3666,319,55.800000
3500,1200,139.133333
3500,1239,140.500000
3500,1279,139.000000
3666,360,61.966667
3666,400,66.400000
3500,1320,145.200000
3666,439,71.633333
3500,1360,147.533333
3666,479,77.266667
3666,520,77.433333
3666,560,81.700000
3666,600,88.833333
3666,639,95.000000
3666,680,96.200000
3666,719,101.766667
3666,759,104.033333
3666,800,106.766667
3666,840,112.333333
3666,879,111.666667
3666,919,116.400000
3666,1000,124.500000
3666,959,121.600000
3666,1040,125.600000
3833,200,35.433333
3666,1080,126.500000
3833,239,42.833333
3666,1120,130.133333
3833,280,48.466667
3666,1159,130.166667
3833,319,53.700000
3666,1200,138.266667
3666,1239,139.066667
3833,360,60.266667
3666,1279,142.066667
3666,1320,138.133333
3833,400,64.866667
3666,1360,144.833333
3833,439,69.366667
3833,479,76.166667
3833,520,77.900000
3833,560,85.066667
3833,600,85.066667
3833,639,92.100000
3833,680,92.133333
3833,719,98.266667
3833,759,99.466667
3833,800,104.933333
3833,840,109.966667
3833,879,110.066667
3833,919,117.500000
3833,959,119.200000
3833,1000,118.500000
4000,200,36.300000
3833,1040,124.000000
4000,239,40.966667
3833,1080,126.333333
3833,1120,135.333333
4000,280,47.933333
3833,1159,131.200000
3833,1200,129.766667
4000,319,51.466667
3833,1239,131.966667
4000,360,60.000000
3833,1279,131.666667
3833,1320,136.200000
4000,400,63.900000
4000,439,69.600000
3833,1360,137.366667
4000,479,69.133333
4000,520,76.866667
4000,560,82.933333
4000,600,80.000000
4000,639,87.233333
4000,680,92.766667
4000,719,97.333333
4000,759,102.233333
4000,800,104.566667
4000,840,104.533333
4000,879,108.966667
4000,919,109.333333
4000,959,113.500000
4000,1000,116.533333
4166,200,35.133333
4000,1040,118.700000
4000,1080,119.266667
4166,239,39.300000
4000,1120,120.966667
4000,1159,123.000000
4166,280,47.866667
4000,1200,124.133333
4166,319,51.833333
4000,1239,131.666667
4166,360,55.833333
4000,1279,127.200000
4000,1320,128.666667
4166,400,61.066667
4000,1360,133.900000
4166,439,63.766667
4166,479,72.633333
4166,520,75.333333
4166,560,76.533333
4166,600,83.900000
4166,639,86.400000
4166,680,89.566667
4166,719,91.333333
4166,759,96.133333
4166,800,98.466667
4166,840,101.100000
4166,879,103.100000
4166,919,106.333333
4166,959,105.300000
4166,1000,110.300000
4166,1040,110.000000
4333,200,32.866667
4166,1080,110.066667
4333,239,38.000000
4166,1120,113.133333
4166,1159,120.800000
4333,280,45.066667
4166,1200,121.500000
4166,1239,123.866667
4333,319,51.733333
4333,360,54.700000
4166,1279,123.633333
4333,400,59.966667
4166,1320,124.233333
4333,439,63.666667
4166,1360,128.233333
4333,479,69.133333
4333,520,73.700000
4333,560,76.433333
4333,600,78.566667
4333,639,83.633333
4333,680,86.433333
4333,719,87.200000
4333,759,92.366667
4333,840,98.333333
4333,800,91.833333
4333,879,103.400000
4333,919,99.000000
4333,959,102.566667
4333,1000,104.700000
4500,200,34.766667
4333,1040,106.566667
4333,1080,112.700000
4500,239,39.100000
4333,1120,115.000000
4500,280,43.666667
4333,1159,113.900000
4333,1200,117.800000
4500,319,46.866667
4333,1239,120.533333
4333,1279,113.100000
4500,360,53.400000
4333,1320,123.266667
4500,400,56.366667
4333,1360,119.433333
4500,439,59.266667
4500,479,67.100000
4500,520,70.766667
4500,560,71.800000
4500,600,74.500000
4500,639,77.833333
4500,680,84.533333
4500,719,88.533333
4500,759,86.900000
4500,800,89.533333
4500,840,95.600000
4500,879,96.300000
4500,919,100.400000
4500,959,100.366667
4500,1000,99.900000
4500,1040,105.833333
4666,200,32.400000
4500,1080,108.133333
4666,239,38.800000
4500,1120,104.633333
4500,1159,111.233333
4500,1200,109.766667
4666,280,41.800000
4500,1239,111.700000
4500,1279,116.400000
4666,319,51.833333
4500,1320,114.400000
4666,360,52.366667
4666,400,56.400000
4500,1360,117.466667
4666,439,59.766667
4666,479,59.733333
4666,520,64.633333
4666,560,70.100000
4666,600,71.533333
4666,639,75.933333
4666,680,77.033333
4666,719,82.333333
4666,759,84.300000
4666,800,87.266667
4666,840,85.166667
4666,879,93.333333
4666,919,92.666667
4666,959,92.833333
4666,1000,96.466667
4666,1040,96.466667
4666,1080,97.000000
4833,200,28.366667
4666,1120,100.333333
4833,239,37.433333
4666,1159,102.333333
4666,1200,101.400000
4833,280,38.466667
4833,319,45.200000
4666,1239,107.200000
4666,1279,105.166667
4833,360,49.533333
4833,400,53.366667
4666,1320,107.933333
4833,439,60.200000
4666,1360,108.166667
4833,479,57.466667
4833,520,64.700000
4833,560,63.666667
4833,600,73.133333
4833,639,72.566667
4833,680,75.966667
4833,719,77.600000
4833,759,77.833333
4833,800,78.900000
4833,840,82.233333
4833,919,88.133333
4833,879,85.966667
4833,959,91.433333
4833,1000,91.900000
4833,1040,92.166667
5000,200,28.100000
4833,1080,97.400000
5000,239,33.400000
4833,1120,92.700000
4833,1159,93.900000
5000,280,36.433333
4833,1200,96.766667
4833,1239,97.000000
4833,1279,104.066667
5000,319,42.100000
5000,360,47.100000
4833,1320,103.400000
4833,1360,102.133333
5000,400,49.800000
5000,439,55.433333
5000,479,58.566667
5000,520,59.066667
5000,560,63.100000
5000,639,69.500000
5000,600,66.666667
5000,719,72.766667
5000,680,69.100000
5000,759,79.433333
5000,800,78.066667
5000,840,77.566667
5000,879,83.800000
5000,919,82.100000
5000,1000,87.100000
5000,959,80.433333
5000,1040,83.800000
5166,200,27.500000
5166,239,34.333333
5000,1080,81.800000
5000,1120,86.766667
5000,1200,92.766667
5000,1159,91.000000
5000,1239,94.333333
5166,319,41.800000
5166,280,36.966667
5000,1279,95.400000
5166,360,42.566667
5000,1320,94.566667
5166,400,48.566667
5000,1360,96.800000
5166,439,49.366667
5166,479,55.600000
5166,520,53.100000
5166,560,60.100000
5166,639,63.566667
5166,600,59.200000
5166,680,66.133333
5166,719,70.033333
5166,759,68.666667
5166,840,71.800000
5166,879,74.700000
5166,800,70.800000
5166,919,77.333333
5166,1000,78.233333
5166,959,76.900000
5166,1040,77.500000
5333,200,27.766667
5166,1080,81.733333
5166,1120,84.466667
5333,239,31.733333
5166,1200,85.633333
5166,1159,82.766667
5166,1239,88.166667
5166,1279,87.233333
5333,280,33.566667
5333,319,37.933333
5166,1320,86.100000
5333,360,39.900000
5333,400,45.233333
5166,1360,85.733333
5333,439,48.666667
5333,479,49.500000
5333,520,53.433333
5333,560,54.400000
5333,600,60.200000
5333,639,58.866667
5333,680,60.300000
5333,759,67.133333
5333,719,61.333333
5333,800,67.900000
5333,879,71.133333
5333,840,71.333333
5333,919,70.666667
5333,959,73.100000
5333,1040,76.433333
5333,1080,80.033333
5500,200,25.433333
5333,1000,72.833333
5333,1159,80.833333
5500,239,28.966667
5333,1120,77.500000
5333,1239,77.633333
5333,1200,80.433333
5500,280,31.433333
5333,1279,79.300000
5500,319,34.300000
5500,360,39.900000
5333,1320,80.933333
5500,400,41.300000
5333,1360,83.633333
5500,439,43.366667
5500,520,48.666667
5500,479,44.600000
5500,560,54.200000
5500,600,56.800000
5500,639,55.966667
5500,680,57.500000
5500,719,57.300000
5500,800,63.133333
5500,759,61.033333
5500,840,65.800000
5500,879,66.966667
5500,919,69.333333
5500,959,69.233333
5500,1040,69.200000
5500,1000,67.866667
5500,1080,68.200000
5666,200,23.766667
5500,1120,73.300000
5500,1159,71.633333
5666,239,26.300000
5500,1200,72.866667
5500,1239,71.266667
5666,280,29.566667
5500,1279,76.666667
5500,1320,77.766667
5500,1360,76.066667
5666,319,34.233333
5666,360,36.100000
5666,439,43.500000
5666,400,38.066667
5666,520,48.233333
5666,479,42.400000
5666,560,48.666667
5666,600,51.466667
5666,639,52.966667
5666,680,54.433333
5666,719,56.566667
5666,759,57.733333
5666,800,57.833333
5666,840,61.900000
5666,879,60.666667
5666,959,63.300000
5666,1000,65.866667
5666,919,60.966667
5666,1040,67.000000
5666,1080,64.266667
5666,1120,68.866667
5666,1159,70.300000
5833,239,24.500000
5666,1239,73.933333
5833,200,21.933333
5666,1200,70.066667
5833,280,27.233333
5666,1320,73.733333
5666,1279,71.033333
5833,360,34.200000
5833,319,30.300000
5666,1360,73.133333
5833,400,35.000000
5833,439,38.966667
5833,479,40.966667
5833,520,39.733333
5833,560,43.466667
5833,600,46.500000
5833,680,53.166667
5833,719,54.100000
5833,759,54.766667
5833,639,46.066667
5833,800,51.533333
5833,840,55.766667
5833,919,58.433333
5833,879,54.366667
5833,959,60.633333
5833,1000,57.433333
5833,1080,62.800000
5833,1040,59.533333
5833,1120,67.266667
5833,1159,62.533333
5833,1200,66.600000
5833,1279,63.300000
5833,1239,60.333333
5833,1320,61.900000
5833,1360,70.633333
