pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,17.433333
1000,239,20.366667
1000,280,23.566667
1000,319,25.033333
1000,360,28.366667
1000,400,30.566667
1000,439,32.700000
1000,479,36.366667
1000,520,38.400000
1000,560,37.300000
1000,639,42.100000
1000,600,42.433333
1000,680,44.600000
1000,719,46.366667
1000,759,47.000000
1000,800,49.633333
1000,840,49.666667
1000,879,50.533333
1000,919,50.866667
1000,959,55.066667
1166,200,19.966667
1166,239,22.266667
1166,280,26.066667
1166,319,28.700000
1000,1000,52.733333
1000,1040,54.933333
1166,360,32.866667
1000,1080,58.366667
1166,400,33.533333
1000,1120,57.600000
1166,439,36.566667
1000,1159,58.100000
1166,479,38.866667
1166,520,43.733333
1166,560,42.833333
1000,1239,58.433333
1000,1200,58.800000
1000,1279,60.066667
1000,1320,62.766667
1000,1360,60.066667
1166,600,44.133333
1166,639,48.633333
1166,680,48.366667
1166,719,47.566667
1166,759,54.466667
1166,800,52.400000
1166,840,54.566667
1333,200,20.200000
1166,879,58.666667
1166,919,59.933333
1333,239,26.133333
1166,959,60.066667
1166,1000,60.933333
1166,1040,61.500000
1166,1080,61.300000
1333,280,28.066667
1166,1120,66.466667
1166,1159,67.033333
1166,1200,64.300000
1333,319,29.466667
1166,1239,65.766667
1333,360,34.666667
1166,1279,65.700000
1333,400,35.533333
1166,1320,66.500000
1333,439,40.433333
1333,479,42.300000
1166,1360,67.333333
1333,520,45.066667
1333,560,46.733333
1333,600,49.133333
1333,639,51.633333
1333,680,53.700000
1333,719,55.833333
1333,759,56.166667
1333,800,56.833333
1333,840,59.000000
1333,879,60.900000
1333,919,62.666667
1333,959,62.000000
1500,200,22.700000
1500,239,26.000000
1333,1000,62.600000
1333,1040,66.600000
1500,280,28.866667
1333,1080,65.033333
1333,1120,67.300000
1500,319,35.666667
1333,1159,67.066667
1333,1200,72.900000
1500,360,37.500000
1333,1239,71.333333
1500,400,41.500000
1333,1279,71.166667
1333,1320,71.833333
1500,439,44.300000
1500,479,46.900000
1333,1360,72.866667
1500,520,48.233333
1500,560,50.633333
1500,600,55.033333
1500,639,53.933333
1500,680,54.033333
1500,719,59.400000
1500,759,60.666667
1500,800,62.600000
1500,840,65.633333
1500,879,63.733333
1666,200,25.533333
1500,919,68.266667
1666,239,26.433333
1500,959,67.000000
1666,280,33.500000
1500,1000,70.033333
1500,1040,68.366667
1500,1080,73.300000
1666,319,33.700000
1500,1120,70.733333
1666,360,40.466667
1500,1159,74.400000
1500,1200,73.433333
1666,400,43.366667
1500,1239,76.133333
1500,1279,74.800000
1666,439,45.233333
1500,1320,72.166667
1666,479,46.633333
1500,1360,75.833333
1666,520,49.600000
1666,560,52.133333
1666,600,57.133333
1666,639,57.933333
1666,680,58.366667
1666,719,59.966667
1666,759,64.700000
1666,800,63.966667
1666,840,64.166667
1666,879,67.733333
1833,200,24.933333
1666,919,68.600000
1666,959,70.400000
1666,1000,73.933333
1833,239,30.166667
1833,280,33.333333
1666,1040,72.833333
1666,1080,74.600000
1666,1120,78.733333
1833,319,36.533333
1666,1159,75.933333
1666,1200,78.833333
1833,360,40.233333
1666,1239,75.466667
1666,1279,77.566667
1833,400,44.433333
1833,439,48.633333
1666,1320,80.200000
1666,1360,78.533333
1833,479,52.766667
1833,520,51.800000
1833,560,57.166667
1833,600,55.733333
1833,639,60.766667
1833,680,62.400000
1833,719,62.333333
1833,759,66.833333
1833,800,65.633333
1833,840,68.333333
1833,879,70.533333
1833,919,72.833333
2000,200,27.800000
1833,959,71.733333
1833,1000,74.866667
2000,239,30.266667
1833,1040,78.433333
2000,280,33.866667
1833,1080,78.433333
1833,1120,80.800000
1833,1159,79.366667
2000,319,37.666667
1833,1200,80.000000
2000,360,43.766667
1833,1239,82.633333
1833,1279,81.033333
2000,400,44.300000
2000,439,48.533333
1833,1320,80.866667
1833,1360,81.333333
2000,479,53.333333
2000,520,58.366667
2000,560,56.300000
2000,600,60.366667
2000,639,60.266667
2000,680,63.733333
2000,719,65.533333
2000,759,67.066667
2000,800,70.266667
2000,840,70.900000
2000,879,71.900000
2166,200,27.166667
2000,919,75.100000
2000,959,76.466667
2166,239,33.100000
2000,1000,76.466667
2000,1040,81.200000
2166,280,34.866667
2000,1080,80.600000
2000,1120,80.133333
2166,319,41.333333
2166,360,41.800000
2000,1159,83.966667
2000,1200,83.366667
2166,400,47.233333
2000,1239,78.966667
2000,1279,83.633333
