pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
2333,1159,114.566667
2333,1200,119.066667
2500,360,43.833333
2500,400,52.333333
2333,1239,122.533333
2333,1279,121.533333
2333,1320,123.200000
2500,439,53.933333
2500,479,58.200000
2333,1360,125.833333
2500,520,63.200000
2500,560,66.333333
2500,600,73.666667
2500,639,76.300000
2500,680,74.700000
2500,719,81.200000
2500,759,84.133333
2500,800,87.766667
2500,840,93.766667
2500,879,96.700000
2500,919,97.000000
2500,959,102.000000
2500,1000,103.733333
2666,200,26.066667
2500,1080,107.733333
2500,1040,105.133333
2500,1120,110.966667
2666,239,32.400000
2666,280,37.133333
2500,1159,117.766667
2666,319,40.200000
2500,1200,118.000000
2500,1239,120.933333
2500,1279,122.766667
2666,360,47.900000
2666,400,51.300000
2500,1320,125.100000
2666,439,57.566667
2666,479,60.200000
2666,520,63.133333
2500,1360,128.333333
2666,560,66.133333
2666,600,72.400000
2666,680,80.066667
2666,639,74.900000
2666,719,81.100000
2666,759,89.066667
2666,800,90.333333
2666,840,89.233333
2666,879,97.933333
2666,919,100.100000
2666,959,104.800000
2666,1000,100.266667
2666,1040,104.233333
2833,200,28.033333
2666,1080,111.566667
2666,1120,114.666667
2833,239,32.266667
2833,280,39.466667
2666,1159,121.333333
2833,319,41.933333
2666,1200,117.566667
2833,360,45.866667
2666,1239,123.066667
2666,1279,123.466667
2833,400,50.633333
2833,439,53.600000
2666,1320,130.266667
2833,479,59.266667
2666,1360,132.266667
2833,520,67.200000
2833,560,67.933333
2833,600,72.766667
2833,639,76.366667
2833,680,81.366667
2833,719,83.666667
2833,759,87.500000
2833,800,90.766667
2833,840,95.433333
2833,879,95.666667
2833,919,97.500000
2833,959,100.033333
3000,200,28.200000
3000,239,32.566667
2833,1000,108.000000
2833,1040,109.466667
3000,280,40.033333
2833,1080,114.466667
2833,1120,111.866667
2833,1159,119.766667
3000,319,41.633333
2833,1200,120.166667
2833,1239,117.700000
2833,1279,125.533333
3000,360,46.133333
3000,400,51.000000
2833,1320,125.500000
3000,439,59.133333
3000,479,59.966667
2833,1360,131.600000
3000,520,64.166667
3000,560,69.033333
3000,600,75.466667
3000,639,78.666667
3000,680,78.633333
3000,719,81.033333
3000,759,86.500000
3000,800,89.600000
3000,840,95.600000
3000,879,97.600000
3000,919,101.266667
3000,959,103.566667
3000,1000,107.000000
3000,1080,110.600000
3000,1040,108.933333
3166,200,26.933333
3166,239,36.133333
3000,1120,113.400000
3000,1159,122.400000
3000,1200,121.366667
3166,280,40.600000
3166,319,44.133333
3000,1239,119.133333
3000,1279,124.633333
3166,360,51.866667
3000,1320,130.000000
3166,400,53.166667
3000,1360,133.800000
3166,439,57.400000
3166,479,59.866667
3166,520,61.900000
3166,560,66.633333
3166,600,74.400000
3166,639,77.233333
3166,680,78.666667
3166,719,81.500000
3166,759,88.533333
3166,800,90.566667
3166,840,93.800000
3166,879,98.400000
