pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,5.700000
1000,239,6.000000
1000,280,7.966667
1000,319,8.300000
1000,360,8.100000
1000,400,10.366667
1000,439,11.433333
1000,479,12.600000
1000,520,14.200000
1000,560,14.733333
1000,639,15.733333
1000,600,15.400000
1000,680,18.266667
1000,719,15.900000
1000,759,19.400000
1000,800,20.200000
1000,840,21.633333
1000,879,24.433333
1000,919,24.433333
1000,959,24.433333
1166,200,5.833333
1166,239,7.566667
1166,280,8.366667
1166,319,8.833333
1000,1000,27.300000
1166,360,10.366667
1000,1040,26.133333
1166,400,11.300000
1000,1080,28.500000
1166,439,13.633333
1000,1120,28.466667
1166,479,14.766667
1000,1159,30.700000
1000,1200,32.733333
1166,520,14.966667
1166,560,15.733333
1000,1239,34.666667
1000,1279,35.133333
1000,1320,35.900000
1000,1360,36.100000
1166,600,19.000000
1166,639,17.666667
1166,680,21.433333
1166,719,22.033333
1166,759,22.800000
1166,800,23.600000
1166,840,23.966667
1166,879,25.900000
1166,919,25.766667
1166,959,29.233333
1333,200,6.633333
1166,1000,29.666667
1333,239,7.600000
1166,1040,31.233333
1333,280,9.966667
1166,1159,33.233333
1166,1080,30.266667
1166,1120,34.900000
1166,1200,33.000000
1333,319,9.733333
1166,1239,36.833333
1333,360,11.266667
1166,1279,37.166667
1166,1320,37.633333
1333,400,12.466667
1333,439,12.133333
1166,1360,39.900000
1333,479,16.666667
1333,520,17.066667
1333,560,17.833333
1333,600,19.566667
1333,639,21.366667
1333,680,22.133333
1333,759,25.300000
1333,719,22.333333
1333,879,28.400000
1333,800,25.833333
1333,840,27.933333
1333,959,29.433333
1333,919,31.033333
1500,200,7.066667
1333,1000,29.500000
1333,1040,35.766667
1500,239,8.533333
1333,1080,36.900000
1500,280,9.133333
1333,1120,35.966667
1333,1159,38.533333
1500,319,11.733333
1333,1200,39.933333
1500,360,12.466667
1333,1239,40.200000
1333,1279,42.166667
1500,400,14.500000
1500,439,14.833333
1333,1320,44.066667
1500,479,17.066667
1333,1360,42.766667
1500,520,18.633333
1500,560,18.966667
1500,600,19.466667
1500,639,22.766667
1500,680,22.066667
1500,719,25.000000
1500,759,26.800000
1500,800,30.466667
1500,879,33.266667
1500,840,28.433333
1500,919,32.133333
1666,200,7.466667
1500,959,33.233333
1500,1000,37.966667
1666,239,7.833333
1500,1040,35.966667
1666,280,11.366667
1500,1120,40.300000
1500,1080,40.200000
1500,1159,44.766667
1666,319,12.400000
1666,360,13.733333
1500,1200,44.166667
1500,1239,44.766667
1666,400,14.566667
1500,1279,44.400000
1500,1320,46.733333
1500,1360,48.766667
1666,439,16.733333
1666,479,18.333333
1666,520,19.766667
1666,560,21.266667
1666,600,23.466667
1666,639,22.733333
1666,680,26.733333
1666,719,25.233333
1666,759,25.133333
1666,800,29.366667
1666,840,31.366667
1666,879,35.566667
1666,919,33.566667
1666,959,33.700000
1666,1000,39.333333
1833,200,7.566667
1666,1040,37.066667
1666,1080,38.833333
1833,239,11.000000
1666,1120,41.200000
1833,280,9.733333
1666,1200,45.766667
1666,1159,45.200000
1833,319,13.300000
1666,1239,46.700000
1833,360,14.266667
1833,400,15.700000
1666,1279,47.600000
1833,439,18.666667
1666,1320,50.700000
1833,479,19.666667
1666,1360,50.833333
1833,520,21.033333
1833,560,22.766667
1833,600,24.200000
1833,639,25.366667
1833,680,27.000000
1833,719,27.633333
1833,800,30.066667
1833,759,30.666667
1833,840,33.200000
1833,879,36.466667
1833,919,37.433333
1833,959,36.400000
1833,1000,36.833333
1833,1080,43.166667
1833,1040,43.266667
2000,200,7.633333
2000,239,10.333333
1833,1120,45.133333
2000,280,12.800000
1833,1159,46.433333
1833,1200,48.633333
2000,319,13.533333
1833,1239,48.233333
2000,360,13.833333
1833,1279,52.000000
2000,400,18.300000
2000,439,19.700000
1833,1320,53.033333
1833,1360,53.866667
2000,479,20.100000
2000,520,22.733333
2000,560,23.400000
2000,600,24.266667
2000,639,28.033333
2000,680,28.233333
2000,719,29.766667
2000,759,31.266667
2000,800,33.166667
